bird,uuid,sex,group,age,sibling
C24,3fe04228,M,CR,98,3
C29,636e3b6c,F,CR,100,3
C31,6d0caa42,M,PR,108,2
C41,d8d22a36,M,PR,104,4
C45,9ed0ae4d,M,PR,105,4
C42,4d74f78c,M,PR,110,4
C44,471dcc13,M,PR,111,4
C60,da899092,M,CR,106,4
P158,29b3baf2,F,CR,94,2
R227,a6a30bb5,F,PR,95,4
R229,098832ed,F,PR,98,4
C105,88b5d1e4,F,CR,96,2
C104,5abf46a5,F,CR,105,2
C195,9400c548,M,CR,104,1
C194,4e7ac2de,M,CR,109,1
Rb291,71c45b37,F,CR,94,1
b01e6518,b01e6518,M,CR,31,5
C355,daca9159,M,PR,33,2
C354,b976a159,F,PR,34,2
c5764117,c5764117,M,CR,32,2
b31d915b,b31d915b,F,CR,34,2
C370,3f2b95a6,F,CR,34,2
C381,a5ba331e,M,PR,31,4
C382,feb9286c,F,PR,33,4
C384,bef364f8,M,PR,35,4
